Number of stations is:
500
nw stn lat lon:
SY AAMT  75.4473  -160.3049
SY AAMU  75.7071  -163.3842
SY AAMV  75.9232  -166.5690
SY AAMW  76.0936  -169.8433
SY AAMX  76.2166  -173.1881
SY AAMY  76.2909  -176.5816
SY AAMZ  76.3158  180.0000
SY AANA  76.2909  176.5816
SY AANB  76.2166  173.1881
SY AANC  76.0936  169.8433
SY AAND  75.9232  166.5690
SY AANE  75.7071  163.3842
SY AANF  75.4473  160.3049
SY AANG  75.1462  157.3432
SY AANH  74.8062  154.5080
SY AANI  74.4297  151.8050
SY AANJ  74.0196  149.2369
SY AANK  73.5781  146.8038
SY AANL  73.1078  144.5040
SY AANM  72.2530  -146.5681
SY AANN  72.6986  -148.7986
SY AANO  73.1157  -151.1451
SY AANP  73.5022  -153.6077
SY AANQ  73.8558  -156.1851
SY AANR  74.1744  -158.8736
SY AANS  74.4559  -161.6674
SY AANT  74.6980  -164.5581
SY AANU  74.8990  -167.5349
SY AANV  75.0572  -170.5842
SY AANW  75.1713  -173.6902
SY AANX  75.2401  -176.8352
SY AANY  75.2632  180.0000
SY AANZ  75.2401  176.8352
SY AAOA  75.1713  173.6902
SY AAOB  75.0572  170.5842
SY AAOC  74.8990  167.5349
SY AAOD  74.6980  164.5581
SY AAOE  74.4559  161.6674
SY AAOF  74.1744  158.8736
SY AAOG  73.8558  156.1851
SY AAOH  73.5022  153.6077
SY AAOI  73.1157  151.1451
SY AAOJ  72.6986  148.7986
SY AAOK  72.2530  146.5681
SY AAOL  71.3786  -148.4463
SY AAOM  71.8013  -150.6042
SY AAON  72.1960  -152.8631
SY AAOO  72.5608  -155.2223
SY AAOP  72.8939  -157.6793
SY AAOQ  73.1932  -160.2304
SY AAOR  73.4570  -162.8698
SY AAOS  73.6835  -165.5897
SY AAOT  73.8713  -168.3806
SY AAOU  74.0188  -171.2309
SY AAOV  74.1250  -174.1275
SY AAOW  74.1891  -177.0557
SY AAOX  74.2105  180.0000
SY AAOY  74.1891  177.0557
SY AAOZ  74.1250  174.1275
SY AAPA  74.0188  171.2309
SY AAPB  73.8713  168.3806
SY AAPC  73.6835  165.5897
SY AAPD  73.4570  162.8698
SY AAPE  73.1932  160.2304
SY AAPF  72.8939  157.6793
SY AAPG  72.5608  155.2223
SY AAPH  72.1960  152.8631
SY AAPI  71.8013  150.6042
SY AAPJ  71.3786  148.4463
SY AAPK  70.4871  -150.1603
SY AAPL  70.8886  -152.2443
SY AAPM  71.2627  -154.4165
SY AAPN  71.6077  -156.6753
SY AAPO  71.9220  -159.0182
SY AAPP  72.2040  -161.4411
SY AAPQ  72.4520  -163.9384
SY AAPR  72.6646  -166.5033
SY AAPS  72.8406  -169.1273
SY AAPT  72.9787  -171.8006
SY AAPU  73.0780  -174.5120
SY AAPV  73.1379  -177.2494
SY AAPW  73.1579  180.0000
SY AAPX  73.1379  177.2494
SY AAPY  73.0780  174.5120
SY AAPZ  72.9787  171.8006
SY AAQA  72.8406  169.1273
SY AAQB  72.6646  166.5033
SY AAQC  72.4520  163.9384
SY AAQD  72.2040  161.4411
SY AAQE  71.9220  159.0182
SY AAQF  71.6077  156.6753
SY AAQG  71.2627  154.4165
SY AAQH  70.8886  152.2443
SY AAQI  70.4871  150.1603
SY AAQJ  69.5808  -151.7289
SY AAQK  69.9627  -153.7393
SY AAQL  70.3178  -155.8267
SY AAQM  70.6447  -157.9893
